Updating responsibilities-api-js.js: 11 ms, 1898 Mb
Compiling responsibilities-api-js.js: 53 ms, 1914 Mb
Updating responsibilities-js.js: 3 ms, 1914 Mb
Compiling responsibilities-js.js: 1729 ms, 1907 Mb
Updating internal-tools-api-js.js: 12 ms, 1915 Mb
Compiling internal-tools-api-js.js: 40 ms, 1931 Mb
Updating internal-tools-js.js: 7 ms, 1931 Mb
Compiling internal-tools-js.js: 1896 ms, 2036 Mb
Updating google-integration-api-js.js: 12 ms, 2044 Mb
Compiling google-integration-api-js.js: 66 ms, 2067 Mb
Updating google-integration-js.js: 4 ms, 2067 Mb
Compiling google-integration-js.js: 1435 ms, 2038 Mb
Updating editors-api-js.js: 11 ms, 2045 Mb
Compiling editors-api-js.js: 30 ms, 2053 Mb
Updating editors-js.js: 7 ms, 2053 Mb
Compiling editors-js.js: 984 ms, 1895 Mb
Updating bonus-api-js.js: 1 ms, 1898 Mb
Compiling bonus-api-js.js: 66 ms, 1921 Mb
Updating bonus-js.js: 8 ms, 1921 Mb
Compiling bonus-js.js: 4095 ms, 1944 Mb
Updating all-js.js: 11 ms, 1953 Mb
Compiling all-js.js: 39 ms, 1961 Mb
Compiling all...: 82615 ms, 1961 Mb
------------ 4 ------------
Updating platform-runtime-js.js: 39 ms, 1961 Mb
Compiling platform-runtime-js.js: 4243 ms, 1890 Mb
Updating platform-web.js: 63 ms, 1894 Mb
Compiling platform-web.js: 11927 ms, 2197 Mb
Updating font-icons-runtime-js.js: 0 ms, 2207 Mb
Compiling font-icons-runtime-js.js: 187 ms, 2309 Mb
Updating platform-api-js.js: 5 ms, 2309 Mb
Compiling platform-api-js.js: 535 ms, 1860 Mb
Updating platform-client-js.js: 7 ms, 1865 Mb
Compiling platform-client-js.js: 1427 ms, 1950 Mb
Updating common-js.js: 18 ms, 1955 Mb
Compiling common-js.js: 503 ms, 2176 Mb
Updating client-api-js.js: 10 ms, 2176 Mb
Compiling client-api-js.js: 2143 ms, 1955 Mb
Updating client-js.js: 25 ms, 1960 Mb
Compiling client-js.js: 4370 ms, 1824 Mb
Updating app-state-js.js: 22 ms, 1835 Mb
Compiling app-state-js.js: 2196 ms, 2091 Mb
Updating app-web.js: 86 ms, 2096 Mb
Compiling app-web.js: 46602 ms, 1871 Mb
Updating vacations-api-js.js: 2 ms, 1872 Mb
Compiling vacations-api-js.js: 123 ms, 1522 Mb
Updating vacations-js.js: 3 ms, 1526 Mb
Compiling vacations-js.js: 1605 ms, 1898 Mb
Updating responsibilities-api-js.js: 17 ms, 1901 Mb
Compiling responsibilities-api-js.js: 52 ms, 1917 Mb
Updating responsibilities-js.js: 3 ms, 1917 Mb
Compiling responsibilities-js.js: 2742 ms, 1926 Mb
Updating internal-tools-api-js.js: 12 ms, 1930 Mb
Compiling internal-tools-api-js.js: 40 ms, 1947 Mb
Updating internal-tools-js.js: 7 ms, 1947 Mb
Compiling internal-tools-js.js: 2420 ms, 1965 Mb
Updating google-integration-api-js.js: 14 ms, 1969 Mb
Compiling google-integration-api-js.js: 75 ms, 1987 Mb
Updating google-integration-js.js: 4 ms, 1987 Mb
Compiling google-integration-js.js: 1733 ms, 1852 Mb
Updating editors-api-js.js: 12 ms, 1856 Mb
Compiling editors-api-js.js: 32 ms, 1866 Mb
Updating editors-js.js: 7 ms, 1866 Mb
Compiling editors-js.js: 1061 ms, 1886 Mb
Updating bonus-api-js.js: 1 ms, 1890 Mb
Compiling bonus-api-js.js: 70 ms, 1909 Mb
Updating bonus-js.js: 8 ms, 1909 Mb
Compiling bonus-js.js: 7456 ms, 1776 Mb
Updating all-js.js: 3 ms, 1778 Mb
Compiling all-js.js: 53 ms, 1796 Mb
Compiling all...: 91994 ms, 1796 Mb
------------ 5 ------------
Updating platform-runtime-js.js: 49 ms, 1796 Mb
Compiling platform-runtime-js.js: 4307 ms, 1948 Mb
Updating platform-web.js: 68 ms, 1951 Mb
loadCircletModules: 3856 ms, 11 Mb
Initializing...: 9013 ms, 341 Mb
------------ 1 ------------
Updating platform-runtime-js.js: 561 ms, 349 Mb
Compiling platform-runtime-js.js: 23409 ms, 631 Mb
Updating platform-web.js: 117 ms, 635 Mb
Compiling platform-web.js: 20614 ms, 837 Mb
Updating font-icons-runtime-js.js: 2 ms, 840 Mb
Compiling font-icons-runtime-js.js: 420 ms, 1030 Mb
Updating platform-api-js.js: 8 ms, 1030 Mb
Compiling platform-api-js.js: 879 ms, 665 Mb
Updating platform-client-js.js: 12 ms, 666 Mb
Compiling platform-client-js.js: 2116 ms, 712 Mb
Updating common-js.js: 14 ms, 714 Mb
Compiling common-js.js: 972 ms, 1040 Mb
Updating client-api-js.js: 21 ms, 1040 Mb
Compiling client-api-js.js: 3148 ms, 1176 Mb
Updating client-js.js: 21 ms, 1178 Mb
Compiling client-js.js: 6408 ms, 423 Mb
Updating app-state-js.js: 17 ms, 426 Mb
Compiling app-state-js.js: 3135 ms, 800 Mb
Updating app-web.js: 163 ms, 809 Mb
Compiling app-web.js: 58480 ms, 934 Mb
Updating vacations-api-js.js: 1 ms, 936 Mb
Compiling vacations-api-js.js: 399 ms, 1220 Mb
Updating vacations-js.js: 4 ms, 1220 Mb
Compiling vacations-js.js: 1930 ms, 1332 Mb
Updating responsibilities-api-js.js: 3 ms, 1334 Mb
Compiling responsibilities-api-js.js: 486 ms, 1012 Mb
Updating responsibilities-js.js: 4 ms, 1013 Mb
Compiling responsibilities-js.js: 3168 ms, 881 Mb
Updating internal-tools-api-js.js: 2 ms, 883 Mb
Compiling internal-tools-api-js.js: 338 ms, 1161 Mb
Updating internal-tools-js.js: 12 ms, 1161 Mb
Compiling internal-tools-js.js: 2546 ms, 1187 Mb
Updating google-integration-api-js.js: 2 ms, 1189 Mb
Compiling google-integration-api-js.js: 366 ms, 1477 Mb
Updating google-integration-js.js: 5 ms, 1477 Mb
Compiling google-integration-js.js: 3126 ms, 1328 Mb
Updating editors-api-js.js: 1 ms, 1330 Mb
Compiling editors-api-js.js: 331 ms, 1023 Mb
Updating editors-js.js: 12 ms, 1024 Mb
Compiling editors-js.js: 1518 ms, 1446 Mb
Updating bonus-api-js.js: 1 ms, 1447 Mb
Compiling bonus-api-js.js: 408 ms, 1176 Mb
Updating bonus-js.js: 12 ms, 1177 Mb
Compiling bonus-js.js: 4963 ms, 1433 Mb
Updating all-js.js: 1 ms, 1435 Mb
Compiling all-js.js: 422 ms, 1435 Mb
Compiling all...: 140617 ms, 1435 Mb
------------ 2 ------------
Updating platform-runtime-js.js: 56 ms, 1437 Mb
Compiling platform-runtime-js.js: 6087 ms, 1198 Mb
Updating platform-web.js: 70 ms, 1201 Mb
Compiling platform-web.js: 12734 ms, 1461 Mb
Updating font-icons-runtime-js.js: 1 ms, 1463 Mb
Compiling font-icons-runtime-js.js: 357 ms, 1564 Mb
Updating platform-api-js.js: 21 ms, 1564 Mb
Compiling platform-api-js.js: 716 ms, 1471 Mb
Updating platform-client-js.js: 10 ms, 1473 Mb
Compiling platform-client-js.js: 1663 ms, 1640 Mb
Updating common-js.js: 11 ms, 1641 Mb
Compiling common-js.js: 628 ms, 1484 Mb
Updating client-api-js.js: 16 ms, 1484 Mb
Compiling client-api-js.js: 2480 ms, 1497 Mb
Updating client-js.js: 18 ms, 1498 Mb
Compiling client-js.js: 5076 ms, 1651 Mb
Updating app-state-js.js: 13 ms, 1653 Mb
Compiling app-state-js.js: 2515 ms, 1625 Mb
Updating app-web.js: 132 ms, 1630 Mb
Compiling app-web.js: 51498 ms, 1692 Mb
Updating vacations-api-js.js: 3 ms, 1694 Mb
Compiling vacations-api-js.js: 88 ms, 1707 Mb
Updating vacations-js.js: 3 ms, 1707 Mb
Compiling vacations-js.js: 1723 ms, 1824 Mb
Updating responsibilities-api-js.js: 1 ms, 1826 Mb
Compiling responsibilities-api-js.js: 71 ms, 1839 Mb
Updating responsibilities-js.js: 4 ms, 1839 Mb
Compiling responsibilities-js.js: 2490 ms, 1917 Mb
Updating internal-tools-api-js.js: 1 ms, 1919 Mb
Compiling internal-tools-api-js.js: 48 ms, 1933 Mb
Updating internal-tools-js.js: 9 ms, 1933 Mb
Compiling internal-tools-js.js: 2270 ms, 1863 Mb
Updating google-integration-api-js.js: 1 ms, 1865 Mb
Compiling google-integration-api-js.js: 65 ms, 1880 Mb
Updating google-integration-js.js: 3 ms, 1880 Mb
Compiling google-integration-js.js: 1556 ms, 1867 Mb
Updating editors-api-js.js: 1 ms, 1869 Mb
Compiling editors-api-js.js: 37 ms, 1877 Mb
Updating editors-js.js: 7 ms, 1877 Mb
Compiling editors-js.js: 1313 ms, 1730 Mb
Updating bonus-api-js.js: 1 ms, 1732 Mb
Compiling bonus-api-js.js: 80 ms, 1747 Mb
Updating bonus-js.js: 9 ms, 1747 Mb
Compiling bonus-js.js: 4180 ms, 1769 Mb
Updating all-js.js: 1 ms, 1771 Mb
Compiling all-js.js: 41 ms, 1778 Mb
Compiling all...: 98140 ms, 1778 Mb
------------ 3 ------------
Updating platform-runtime-js.js: 36 ms, 1778 Mb
Compiling platform-runtime-js.js: 4359 ms, 1704 Mb
Updating platform-web.js: 59 ms, 1707 Mb
Compiling platform-web.js: 12278 ms, 2049 Mb
Updating font-icons-runtime-js.js: 1 ms, 2052 Mb
Compiling font-icons-runtime-js.js: 176 ms, 2159 Mb
Updating platform-api-js.js: 5 ms, 2159 Mb
Compiling platform-api-js.js: 436 ms, 1704 Mb
Updating platform-client-js.js: 7 ms, 1705 Mb
Compiling platform-client-js.js: 1481 ms, 1777 Mb
Updating common-js.js: 10 ms, 1779 Mb
Compiling common-js.js: 532 ms, 2001 Mb
Updating client-api-js.js: 11 ms, 2001 Mb
Compiling client-api-js.js: 2377 ms, 1776 Mb
Updating client-js.js: 14 ms, 1778 Mb
Compiling client-js.js: 4536 ms, 1644 Mb
Updating app-state-js.js: 13 ms, 1646 Mb
Compiling app-state-js.js: 2373 ms, 1877 Mb
Updating app-web.js: 90 ms, 1881 Mb
Compiling app-web.js: 50383 ms, 1817 Mb
Updating vacations-api-js.js: 4 ms, 1819 Mb
Compiling vacations-api-js.js: 43 ms, 1834 Mb
Updating vacations-js.js: 4 ms, 1834 Mb
Compiling vacations-js.js: 1251 ms, 1872 Mb
Updating responsibilities-api-js.js: 1 ms, 1874 Mb
Compiling responsibilities-api-js.js: 45 ms, 1888 Mb
Updating responsibilities-js.js: 3 ms, 1888 Mb
Compiling responsibilities-js.js: 1625 ms, 1703 Mb
Updating internal-tools-api-js.js: 1 ms, 1705 Mb
Compiling internal-tools-api-js.js: 36 ms, 1720 Mb
Updating internal-tools-js.js: 9 ms, 1720 Mb
Compiling internal-tools-js.js: 1975 ms, 1852 Mb
Updating google-integration-api-js.js: 1 ms, 1854 Mb
Compiling google-integration-api-js.js: 59 ms, 1870 Mb
Updating google-integration-js.js: 4 ms, 1870 Mb
Compiling google-integration-js.js: 1918 ms, 1825 Mb
Updating editors-api-js.js: 1 ms, 1827 Mb
Compiling editors-api-js.js: 41 ms, 1835 Mb
Updating editors-js.js: 8 ms, 1835 Mb
Compiling editors-js.js: 999 ms, 1908 Mb
Updating bonus-api-js.js: 0 ms, 1909 Mb
Compiling bonus-api-js.js: 66 ms, 1925 Mb
Updating bonus-js.js: 10 ms, 1925 Mb
Compiling bonus-js.js: 4127 ms, 1998 Mb
Updating all-js.js: 1 ms, 2000 Mb
Compiling all-js.js: 42 ms, 2017 Mb
Compiling all...: 91482 ms, 2017 Mb
------------ 4 ------------
